CustomerID,Recency,Frequency,Monetary,AveragePurchaseValue,CLV_Proxy,Cluster,FinalCluster,Segment
12346.0,326,1,77183.6,77183.6,77183.6,0,1,At-Risk / Low-Engagement Customers
12347.0,2,182,4310.0,23.681318681318682,4310.0,0,0,High-Value Active Customers
12348.0,75,31,1797.24,57.97548387096774,1797.24,0,1,At-Risk / Low-Engagement Customers
12349.0,19,73,1757.55,24.076027397260273,1757.55,0,0,High-Value Active Customers
12350.0,310,17,334.4,19.670588235294115,334.4,0,1,At-Risk / Low-Engagement Customers
12352.0,36,85,2506.04,29.482823529411764,2506.04,0,0,High-Value Active Customers
12353.0,204,4,89.0,22.25,89.0,0,1,At-Risk / Low-Engagement Customers
12354.0,232,58,1079.4,18.610344827586207,1079.4,0,1,At-Risk / Low-Engagement Customers
12355.0,214,13,459.4,35.33846153846154,459.4,0,1,At-Risk / Low-Engagement Customers
12356.0,23,59,2811.43,47.65135593220339,2811.43,0,0,High-Value Active Customers
12357.0,33,131,6207.67,47.38679389312977,6207.67,0,0,High-Value Active Customers
12358.0,2,19,1168.06,61.47684210526315,1168.06,0,0,High-Value Active Customers
12359.0,58,244,6301.63,25.826352459016395,6301.63,0,0,High-Value Active Customers
12360.0,52,129,2662.06,20.63612403100775,2662.06,0,0,High-Value Active Customers
12361.0,287,10,189.9,18.990000000000002,189.9,0,1,At-Risk / Low-Engagement Customers
12362.0,3,266,5226.23,19.647481203007516,5226.23,0,0,High-Value Active Customers
12363.0,110,23,552.0,24.0,552.0,0,1,At-Risk / Low-Engagement Customers
12364.0,8,85,1313.1,15.448235294117646,1313.1,0,0,High-Value Active Customers
12365.0,291,22,641.38,29.153636363636362,641.38,0,1,At-Risk / Low-Engagement Customers
12367.0,4,11,168.9,15.354545454545455,168.9,0,1,At-Risk / Low-Engagement Customers
12370.0,51,166,3541.94,21.33698795180723,3541.94,0,0,High-Value Active Customers
12371.0,45,63,1887.96,29.96761904761905,1887.96,0,0,High-Value Active Customers
12372.0,72,52,1298.04,24.962307692307693,1298.04,0,0,High-Value Active Customers
12373.0,311,14,364.6,26.042857142857144,364.6,0,1,At-Risk / Low-Engagement Customers
12374.0,25,33,742.9300000000001,22.513030303030305,742.9300000000001,0,1,At-Risk / Low-Engagement Customers
12375.0,11,17,457.5,26.91176470588235,457.5,0,1,At-Risk / Low-Engagement Customers
12377.0,315,77,1628.12,21.144415584415583,1628.12,0,1,At-Risk / Low-Engagement Customers
12378.0,130,219,4008.62,18.30420091324201,4008.62,0,0,High-Value Active Customers
12379.0,82,40,852.24,21.306,852.24,0,1,At-Risk / Low-Engagement Customers
12380.0,22,104,2724.81,26.200096153846154,2724.81,0,0,High-Value Active Customers
12381.0,5,87,1845.31,21.21045977011494,1845.31,0,0,High-Value Active Customers
12383.0,185,99,1850.56,18.69252525252525,1850.56,0,0,High-Value Active Customers
12384.0,29,27,585.27,21.676666666666666,585.27,0,1,At-Risk / Low-Engagement Customers
12386.0,338,10,401.9,40.19,401.9,0,1,At-Risk / Low-Engagement Customers
12388.0,16,100,2780.66,27.8066,2780.66,0,0,High-Value Active Customers
12390.0,80,32,549.84,17.1825,549.84,0,1,At-Risk / Low-Engagement Customers
12391.0,22,93,439.66,4.72752688172043,439.66,0,0,High-Value Active Customers
12393.0,72,64,1582.6000000000001,24.728125000000002,1582.6000000000001,0,0,High-Value Active Customers
12394.0,64,27,1272.48,47.12888888888889,1272.48,0,1,At-Risk / Low-Engagement Customers
12395.0,19,156,3018.63,19.350192307692307,3018.63,0,0,High-Value Active Customers
